site_code,collection_period,density,biomass,richness,shannon,simpson,centroid_dist,qtr
AR,2017-03-01,0.3760191846522782,0.3985164160799362,5,2.783336088555069,2.0015161086544535,1.072136933908573,1
AR,2017-09-01,0.2620134228187919,0.1668770754697681,7,4.723348664840922,3.8691460055096423,0.8461819875448441,3
AR,2017-11-01,0.9766526019690577,2.6477076075788095,10,4.951401969462621,3.7970575580048327,0.5632299971964837,4
AR,2017-12-01,0.5333333333333333,0.49850699466814413,6,4.0092332206699846,3.2419676126643395,0.6213021266455894,4
AR,2018-02-01,0.5470085470085471,0.19569930662477983,5,3.3380399107867884,2.7454219860204496,0.7480762596834556,1
AR,2018-04-01,0.17507598784194528,0.0822930903499008,4,1.8110547361936729,1.3861794266129406,1.5450181424242693,2
AR,2018-05-01,0.562962962962963,0.6685971877467682,6,3.5161955131240337,3.0258645426210857,0.3888625376839093,2
AR,2018-06-01,0.26347305389221554,3.2823886576235584,9,5.797222570140776,4.5353230071779365,0.32543048104741357,2
AR,2018-07-01,0.08142493638676844,0.03737125424455353,4,3.2112654992705223,2.743486973947896,0.2456073317010078,3
AR,2018-08-01,0.054794520547945195,0.16472408983588965,4,3.7892914162759954,3.571428571428571,1.7232061823665874,3
AR,2018-09-01,0.5067497403946002,7.000260370701136,11,6.145218883991631,4.697779754923768,0.20221046822538613,3
AR,2019-03-01,0.523961661341853,0.865880699276762,10,7.388759972540689,6.591012302165588,0.3343926169864852,1
AR,2019-09-01,0.17035892151811777,0.5407720964479483,8,5.7850936502743995,4.841166380789023,0.5499346165346056,3
AR,2020-01-01,0.13661476644902054,0.13396924233826676,7,6.08374448371719,5.527918781725888,1.0008494707162123,1
AR,2020-06-01,0.7493276230231514,2.060895008304714,10,3.515685536878972,2.697682974756048,1.0294371328040717,2
AR,2020-10-01,0.3000210014701029,0.5081721192106883,10,6.19798307009825,5.056705857871188,1.22821268964603,4
AR,2020-11-01,1.077780892751456,1.242662644645738,9,5.180649536555959,4.396773928071763,1.2508247171725395,4
