Year Qtr,Site Code,Gravel,Sand,Silt,Canopy,Depth Mx,Width
2017 Q1,AR,0.45,0.175,0.0375,0.4475675675,0.29,3.475
2017 Q1,PD,0.175,0.575,0,0.128378378375,0.28625,3.755
2017 Q1,SF,0.2,0.2625,0.4,NA,0.22625,2.7925
2017 Q2,GC,0.2125,0.6875,0.1,0.5063513515,0.375,6.800000000000001
2017 Q2,MR,0.215416666625,0.247916666625,0.477916666625,0.5855855853333334,0.4975,7.716666666666667
2017 Q2,PL,0.05,0.2,0.525,0.21290540525,0.3325,3.725
2017 Q2,TR,0.371875,0.371875,0.13125,0.34574324325,0.24625,4.0375
2017 Q3,AR,0.30937499999999996,0.40625,0.043750000000000004,0.5760135135625,0.20531249999999998,3.0845833333333337
2017 Q3,EM,0.29375,0.30625,0.4,0.0135135135,0.58875,5.2212499999999995
2017 Q3,GC,0.10125,0.74875,0.15,0.679054054125,0.28500000000000003,6.275
2017 Q3,MR,0.037500000000000006,0.7,0.225,0.712837838125,0.5725,5.0625
2017 Q3,PD,0.175,0.44375000000000003,0.1125,0,0.30562500000000004,2.9375
2017 Q3,PL,0.03125,0.40625,0.325,0.60472972975,0.28875,3.3425000000000002
2017 Q3,SF,0.343594139625,0.164678899125,0.3271436279166666,0.6773648650624999,0.19187500000000002,3.39625
2017 Q3,TR,0.275,0.06875,0.425,0.574324324375,0.231875,3.57125
2017 Q3,WM,0.075,0.4,0.30625,0.18581081075,0.6387499999999999,7.2375
2017 Q4,AR,0.35,0.36875,0.05,0.75000000025,0.27125,3.23125
2017 Q4,EM,0.09583333333333333,0.40486111108333334,0.4243055555833333,0.00225225225,0.5283333333333333,5.2425
2017 Q4,GC,0.17361111105555557,0.6958333333888889,0.13055555555555554,0.6058558559166667,0.29375,6.6000000000000005
2017 Q4,MR,0.07083333333333333,0.7333333333333333,0.12083333333333333,0.4864864865,0.4533333333333333,7.220833333333333
2017 Q4,PD,0.11435606058333334,0.3413041125,0.218961039,0,0.5408333333333333,5.16125
2017 Q4,PL,0.07500000000000001,0.49861111108333334,0.2763888889166667,0.46396396408333335,0.39875,3.8016666666666667
2017 Q4,SF,0.296130952375,0.11398809525,0.458333333375,0.668918919,0.38,3.085
2017 Q4,TR,0.23749999997222224,0.23472222219444444,0.5138888888611111,0.7747747749999999,0.3208333333333333,4.273333333333333
2017 Q4,WM,0,0.925,0.075,0.5022522524166667,0.35625,7.494999999999999
