site_code,collection_period,lowest_taxon,density,collection_year,collection_qtr,density_com,density_com_mu_at,density_com_me_at,density_com_n_at,density_com_mu_yr,density_com_me_yr,density_com_n_at_yr,density_com_mu_qt,density_com_me_qt,density_com_n_qt
AR,2017-03-01,C. lutrensis,0.25323741007194245,2017,1,0.3760191846522782,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.3959010398629247,0.4499904229970656,4
AR,2017-03-01,H. cyanoguttatus,0.01151079136690647,2017,1,0.3760191846522782,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.3959010398629247,0.4499904229970656,4
AR,2017-03-01,L. auritus,0.03069544364508393,2017,1,0.3760191846522782,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.3959010398629247,0.4499904229970656,4
AR,2017-03-01,L. macrochirus,0.04988009592326139,2017,1,0.3760191846522782,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.3959010398629247,0.4499904229970656,4
AR,2017-03-01,L. megalotis,0.03069544364508393,2017,1,0.3760191846522782,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.3959010398629247,0.4499904229970656,4
AR,2017-09-01,C. lutrensis,0.08590604026845637,2017,3,0.2620134228187919,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.2150683083332447,0.17035892151811777,5
AR,2017-09-01,G. affinis,0.01718120805369127,2017,3,0.2620134228187919,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.2150683083332447,0.17035892151811777,5
AR,2017-09-01,H. cyanoguttatus,0.04295302013422818,2017,3,0.2620134228187919,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.2150683083332447,0.17035892151811777,5
AR,2017-09-01,I. punctatus,0.00859060402684563,2017,3,0.2620134228187919,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.2150683083332447,0.17035892151811777,5
AR,2017-09-01,L. auritus,0.01718120805369127,2017,3,0.2620134228187919,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.2150683083332447,0.17035892151811777,5
AR,2017-09-01,L. cyanellus,0.00859060402684563,2017,3,0.2620134228187919,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.2150683083332447,0.17035892151811777,5
AR,2017-09-01,L. macrochirus,0.08161073825503355,2017,3,0.2620134228187919,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.2150683083332447,0.17035892151811777,5
AR,2017-11-01,A. rostrata,0.0180028129395218,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
AR,2017-11-01,C. lutrensis,0.40956399437412094,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
AR,2017-11-01,G. affinis,0.0720112517580872,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
AR,2017-11-01,H. cyanoguttatus,0.13952180028129396,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
AR,2017-11-01,L. auritus,0.0090014064697609,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
AR,2017-11-01,L. cyanellus,0.0090014064697609,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
AR,2017-11-01,L. macrochirus,0.0990154711673699,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
AR,2017-11-01,L. megalotis,0.20253164556962025,2017,4,0.9766526019690577,0.42926900931542045,0.3760191846522782,17,0.5370046356933653,0.4546762589928057,4,0.7219469573809875,0.7549929676511955,4
