site_code,collection_period,lowest_taxon,biomass,collection_year,collection_qtr,biomass_com,biomass_com_mu_at,biomass_com_me_at,biomass_com_n_at,biomass_com_mu_yr,biomass_com_me_yr,biomass_com_n_at_yr,biomass_com_mu_qt,biomass_com_me_qt,biomass_com_n_qt
AR,2017-09-01,C. lutrensis,0.01069232436525181,2017,3,0.1668770754697681,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.5820009773398591,0.1668770754697681,5
AR,2017-09-01,G. affinis,6.175801416051478e-4,2017,3,0.1668770754697681,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.5820009773398591,0.1668770754697681,5
AR,2017-09-01,H. cyanoguttatus,0.01725211007988051,2017,3,0.1668770754697681,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.5820009773398591,0.1668770754697681,5
AR,2017-09-01,I. punctatus,0.00158974565204012,2017,3,0.1668770754697681,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.5820009773398591,0.1668770754697681,5
AR,2017-09-01,L. auritus,0.06079443198565861,2017,3,0.1668770754697681,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.5820009773398591,0.1668770754697681,5
AR,2017-09-01,L. cyanellus,0.02853761290266358,2017,3,0.1668770754697681,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.5820009773398591,0.1668770754697681,5
AR,2017-09-01,L. macrochirus,0.04739327034266833,2017,3,0.1668770754697681,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.5820009773398591,0.1668770754697681,5
AR,2017-11-01,A. rostrata,0.4043881297170211,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,C. lutrensis,0.03444389083427352,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,G. affinis,0.00221511882494288,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,H. cyanoguttatus,0.11076941384443412,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,L. oculatus,1.4731132946067451,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,L. auritus,0.04211946057432751,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,L. cyanellus,0.01574078959242347,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,L. macrochirus,0.24179890251228364,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,L. megalotis,0.28778940528663993,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-11-01,M. salmoides,0.03532920178571834,2017,4,2.6477076075788095,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-12-01,L. megalotis,0.27749341418375273,2017,4,0.49850699466814413,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-12-01,C. lutrensis,0.02718223914461165,2017,4,0.49850699466814413,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-12-01,G. affinis,0.00314738714915827,2017,4,0.49850699466814413,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-12-01,H. cyanoguttatus,0.06054687175601198,2017,4,0.49850699466814413,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-12-01,L. macrochirus,0.091378032341055,2017,4,0.49850699466814413,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2017-12-01,L. cyanellus,0.0387590500935545,2017,4,0.49850699466814413,1.2560485903167142,0.5244721078293183,16,1.1043638925722405,0.49850699466814413,3,1.224262341525845,0.8754173819282132,4
AR,2018-02-01,G. affinis,0.00521212142244065,2018,1,0.19569930662477983,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,0.3985164160799362,0.19569930662477983,3
AR,2018-02-01,H. cyanoguttatus,0.01788338383051595,2018,1,0.19569930662477983,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,0.3985164160799362,0.19569930662477983,3
AR,2018-02-01,L. macrochirus,0.03550201693815384,2018,1,0.19569930662477983,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,0.3985164160799362,0.19569930662477983,3
AR,2018-02-01,L. megalotis,0.09041596411405634,2018,1,0.19569930662477983,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,0.3985164160799362,0.19569930662477983,3
AR,2018-02-01,C. lutrensis,0.04668582031961305,2018,1,0.19569930662477983,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,0.3985164160799362,0.19569930662477983,3
AR,2018-04-01,C. lutrensis,0.03389021688337056,2018,2,0.0822930903499008,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-04-01,G. affinis,0.00105336852870703,2018,2,0.0822930903499008,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-04-01,H. cyanoguttatus,0.03760890634091714,2018,2,0.0822930903499008,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-04-01,L. macrochirus,0.00974059859690607,2018,2,0.0822930903499008,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-05-01,C. lutrensis,0.04104415553788187,2018,2,0.6685971877467682,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-05-01,H. cyanoguttatus,0.05185827767756623,2018,2,0.6685971877467682,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-05-01,L. cyanellus,0.09774995216979825,2018,2,0.6685971877467682,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-05-01,L. macrochirus,0.08637604909819337,2018,2,0.6685971877467682,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-05-01,L. megalotis,0.3454637441120031,2018,2,0.6685971877467682,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-05-01,M. salmoides,0.04610500915132543,2018,2,0.6685971877467682,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-06-01,L. gulosus,0.01236530442238999,2018,2,3.2823886576235584,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-06-01,A. melas,3.0876278803467893e-4,2018,2,3.2823886576235584,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-06-01,A. natalis,7.647861269583387e-4,2018,2,3.2823886576235584,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-06-01,C. lutrensis,0.01647151810805579,2018,2,3.2823886576235584,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
AR,2018-06-01,G. affinis,0.00354077978826717,2018,2,3.2823886576235584,1.2560485903167142,0.5244721078293183,16,1.633047708160941,0.19569930662477983,7,1.5235434860062353,1.364746098025741,4
