site_code,collection_period,hypoxia_tolerance,density
AR,2017-03-01,Mesotolerant,0.08057553956834532
AR,2017-03-01,Sensitive,0.28393285371702637
AR,2017-03-01,Tolerant,0.01151079136690647
AR,2017-09-01,Mesotolerant,0.10738255033557045
AR,2017-09-01,Sensitive,0.11167785234899327
AR,2017-09-01,Tolerant,0.04295302013422818
AR,2017-11-01,Mesotolerant,0.39156118143459917
AR,2017-11-01,Sensitive,0.43656821378340366
AR,2017-11-01,Tolerant,0.14852320675105485
AR,2017-12-01,Mesotolerant,0.259047619047619
AR,2017-12-01,Sensitive,0.24761904761904763
AR,2017-12-01,Tolerant,0.02666666666666667
AR,2018-02-01,Mesotolerant,0.2403522403522404
AR,2018-02-01,Sensitive,0.28179228179228183
AR,2018-02-01,Tolerant,0.02486402486402486
AR,2018-04-01,Mesotolerant,0.0226950354609929
AR,2018-04-01,Sensitive,0.1458966565349544
AR,2018-04-01,Tolerant,0.00648429584599797
AR,2018-05-01,Mesotolerant,0.34814814814814815
AR,2018-05-01,Sensitive,0.2
AR,2018-05-01,Tolerant,0.01481481481481481
AR,2018-06-01,Mesotolerant,0.14371257485029937
AR,2018-06-01,Sensitive,0.10059880239520957
AR,2018-06-01,Tolerant,0.01916167664670658
AR,2018-07-01,Mesotolerant,0.05699745547073791
AR,2018-07-01,Sensitive,0.02442748091603053
AR,2018-08-01,Mesotolerant,0.054794520547945195
AR,2018-09-01,Mesotolerant,0.34890965732087226
AR,2018-09-01,Sensitive,0.08722741433021805
AR,2018-09-01,Tolerant,0.07061266874350985
AR,2019-03-01,Mesotolerant,0.37912673056443025
AR,2019-03-01,Sensitive,0.08519701810436633
AR,2019-03-01,Tolerant,0.05963791267305643
AR,2019-09-01,Mesotolerant,0.08243173621844409
AR,2019-09-01,Sensitive,0.06594538897475526
AR,2019-09-01,Tolerant,0.02198179632491842
AR,2020-01-01,Mesotolerant,0.08036162732295328
AR,2020-01-01,Sensitive,0.04285953457224173
AR,2020-01-01,Tolerant,0.01339360455382554
AR,2020-06-01,Mesotolerant,0.3108143516719824
AR,2020-06-01,Sensitive,0.40237206766838035
AR,2020-06-01,Tolerant,0.036141203682788656
AR,2020-10-01,Mesotolerant,0.2580180612642885
AR,2020-10-01,Sensitive,0.01600112007840548
AR,2020-10-01,Tolerant,0.02600182012740892
AR,2020-11-01,Mesotolerant,0.651029498800735
AR,2020-11-01,Sensitive,0.35510699934585555
AR,2020-11-01,Tolerant,0.07164439460486559
EM,2017-10-01,Mesotolerant,0.4820170873299258
EM,2017-10-01,Sensitive,0.00486885946797904
EM,2017-10-01,Tolerant,0.00730328920196857
EM,2017-11-01,Mesotolerant,1.334806629834254
EM,2017-11-01,Sensitive,0.0589318600368324
EM,2017-11-01,Tolerant,0.01178637200736648
EM,2017-12-01,Mesotolerant,1.9019351083951694
EM,2017-12-01,Sensitive,0.02095154954168485
EM,2017-12-01,Tolerant,0.03259129928706532
EM,2018-02-01,Mesotolerant,1.4816159782115297
EM,2018-02-01,Sensitive,0.03631411711302769
EM,2018-02-01,Tolerant,0.01210470570434255
EM,2018-03-01,Mesotolerant,1.0677302012890357
EM,2018-03-01,Sensitive,0.0361533928201705
EM,2018-03-01,Tolerant,0.00964090475204547
EM,2018-04-01,Mesotolerant,0.41690140845070417
EM,2018-04-01,Sensitive,0.09953051643192488
EM,2018-04-01,Tolerant,0.00375586854460093
EM,2018-05-01,Mesotolerant,0.6161153519932147
EM,2018-05-01,Sensitive,0.056997455470737916
EM,2018-05-01,Tolerant,0.01628498727735369
EM,2018-06-01,Mesotolerant,0.08735632183908044
EM,2018-06-01,Sensitive,0.00459770114942528
EM,2018-06-01,Tolerant,0.01609195402298849
EM,2018-07-01,Mesotolerant,0.023188405797101443
EM,2018-07-01,Sensitive,0.00515297906602254
EM,2018-07-01,Tolerant,0.01030595813204508
EM,2018-09-01,Mesotolerant,0.09227220299884659
EM,2018-09-01,Sensitive,0.0105453946284396
EM,2018-09-01,Tolerant,0.01845444059976931
EM,2019-03-01,Mesotolerant,0.13580246913580246
EM,2019-03-01,Sensitive,0.01234567901234567
EM,2019-10-01,Mesotolerant,0.6653465346534654
EM,2019-10-01,Sensitive,0.02904290429042904
EM,2020-01-01,Mesotolerant,0.3660946437857514
EM,2020-01-01,Sensitive,0.01386722135552088
EM,2020-01-01,Tolerant,0.00554688854220835
EM,2020-06-01,Mesotolerant,0.13992167665521604
EM,2020-06-01,Tolerant,0.00655882859321325
EM,2020-09-01,Mesotolerant,0.1569874805413139
EM,2020-09-01,Tolerant,0.00937238689798888
EM,2020-11-01,Mesotolerant,0.44518642181413476
EM,2020-11-01,Sensitive,0.00737878047205748
EM,2020-11-01,Tolerant,0.034434308869601554
GC,2017-04-01,Mesotolerant,0.35882352941176465
GC,2017-04-01,Sensitive,0.00588235294117647
GC,2017-10-01,Mesotolerant,0.01560418020383478
GC,2017-10-01,Sensitive,0.01040278680255653
GC,2017-10-01,Tolerant,0.02774076480681743
GC,2017-11-01,Mesotolerant,0.6268562401263823
GC,2017-11-01,Sensitive,0.01011058451816744
GC,2017-11-01,Tolerant,0.01769352290679304
GC,2017-12-01,Mesotolerant,0.547945205479452
GC,2017-12-01,Sensitive,0.01461187214611872
GC,2017-12-01,Tolerant,0.05357686453576864
GC,2018-02-01,Mesotolerant,0.4184019370460047
GC,2018-02-01,Sensitive,0.04907183212267956
GC,2018-02-01,Tolerant,0.06715092816787728
GC,2018-04-01,Mesotolerant,0.40110192837465564
GC,2018-04-01,Sensitive,0.01322314049586776
GC,2018-04-01,Tolerant,0.015426997245179049
GC,2018-05-01,Mesotolerant,0.31001642036124794
GC,2018-05-01,Tolerant,0.1050903119868637
GC,2018-06-01,Mesotolerant,0.2507462686567164
GC,2018-06-01,Sensitive,0.08955223880597014
GC,2018-06-01,Tolerant,0.00597014925373134
GC,2018-07-01,Mesotolerant,0.01882352941176469
GC,2018-08-01,Mesotolerant,1.2868632707774799
GC,2018-08-01,Sensitive,0.128686327077748
GC,2018-08-01,Tolerant,0.18230563002680963
GC,2018-11-01,Mesotolerant,0.21904557000870178
GC,2018-11-01,Sensitive,0.0084248296157193
GC,2018-11-01,Tolerant,0.03159311105894737
GC,2019-03-01,Mesotolerant,0.05257562578525174
GC,2019-03-01,Sensitive,0.00927805160916207
GC,2019-03-01,Tolerant,0.00309268386972069
GC,2019-10-01,Mesotolerant,0.5075959843470879
GC,2019-10-01,Sensitive,0.17060279971831582
GC,2019-10-01,Tolerant,0.01895586663536842
GC,2020-01-01,Mesotolerant,0.12276729559748426
GC,2020-01-01,Tolerant,0.0040251572327044
GC,2020-06-01,Mesotolerant,0.2704490335856544
GC,2020-06-01,Tolerant,0.04311506332524924
GC,2020-09-01,Mesotolerant,0.30118765876196496
GC,2020-09-01,Sensitive,0.10531037019649124
GC,2020-09-01,Tolerant,0.03791173327073685
