site_code,qtr,collection_period,family,is_baseline,AFDM,AFDM_b_all,AFDM_sd20,AFDM_b_qtr,AFDM_b_qtr_fill,AFDM_RR_b_qtr,AFDM_RR_b_all,AFDM_LRR_b_qtr,AFDM_LRR_b_all
AR,1,2018-02-01,Centrarchidae,test,0.12591798105221017,0.4544409495042737,0.2668740946337399,0.2794326437561372,0.2794326437561372,-0.5303985780998204,-0.7073514271356051,-0.6341265209213545,-0.34622766849867476
AR,1,2018-02-01,Cichlidae,test,0.01788338383051595,0.16256509228392654,0.17937349722326754,0.07564373233256394,0.07564373233256394,-0.6744258678236753,-0.8384181675362328,-0.3938935162334229,-0.17623829635596433
AR,1,2018-02-01,Leuciscidae,test,0.04668582031961305,0.025235608936602094,0.0389087686318905,0.0066535333805706805,0.0066535333805706805,2.4038314286953164,0.6087651676917345,0.8770638930393635,-0.49632268876968644
AR,1,2018-02-01,Poeciliidae,test,0.00521212142244065,0.0020388830736701464,0.002808498565823033,0.00699122389898125,0.00699122389898125,-0.10470714099925846,0.2635824543981652,-2.2565879590450364,-1.3333890400328108
AR,2,2018-04-01,Centrarchidae,test,0.00974059859690607,0.4544409495042737,0.2668740946337399,0.9265421910059537,0.9265421910059537,-0.9789218267084129,-0.9574959989682726,-0.02130348978444342,-0.043433736559280414
AR,2,2018-04-01,Cichlidae,test,0.03760890634091714,0.16256509228392654,0.17937349722326754,0.29776597137992117,0.29776597137992117,-0.8453080887160641,-0.7241104460305056,-0.1680541160452869,-0.3228113484650614
AR,2,2018-04-01,Leuciscidae,test,0.03389021688337056,0.025235608936602094,0.0389087686318905,0.10460078288875148,0.10460078288875148,-0.6170164306296502,0.24562106936594524,-0.48285962556154455,-1.4039652990680473
AR,2,2018-04-01,Poeciliidae,test,0.00105336852870703,0.0020388830736701464,0.002808498565823033,4.89880354789723e-4,4.89880354789723e-4,0.053717311814716354,-0.0818609615968863,-2.924019949258321,-2.502733061139985
AR,2,2018-05-01,Centrarchidae,test,0.5756947545313201,0.4544409495042737,0.2668740946337399,0.9265421910059537,0.9265421910059537,-0.3746200009396087,0.2610747505284967,-0.9818430976062261,-1.3429485121719111
AR,2,2018-05-01,Cichlidae,test,0.05185827767756623,0.16256509228392654,0.17937349722326754,0.29776597137992117,0.29776597137992117,-0.7990087162651085,-0.6415365537788549,-0.2243834243077696,-0.44388911482130844
AR,2,2018-05-01,Leuciscidae,test,0.04104415553788187,0.025235608936602094,0.0389087686318905,0.10460078288875148,0.10460078288875148,-0.5545915634151217,0.4486525727346846,-0.5895233579336142,-0.8015064708631497
AR,2,2018-06-01,Centrarchidae,test,0.17274110227943015,0.4544409495042737,0.2668740946337399,0.9265421910059537,0.9265421910059537,-0.8048768074365712,-0.6065353357095644,-0.21706604751479205,-0.49999229061411554
